20;20;;;;;;;;;;;;;;;;;;
9;1;;;;;;;;;;;;;;;;;;
-;-;-;-;-;-;-;0;1;1;1;2;-;-;-;-;-;-;-;-
-;-;-;-;0;1;1;3;6;14;6;4;1;1;1;1;2;-;-;-
-;-;-;-;5;6;6;6;13;13;13;6;6;6;6;6;7;-;-;-
-;-;-;-;5;13;14;14;13;13;14;13;13;14;14;13;7;-;-;-
-;-;-;-;5;13;13;13;14;14;13;14;13;14;14;13;7;-;-;-
-;-;-;-;5;13;14;14;14;13;13;13;14;13;13;13;7;-;-;-
-;-;-;-;10;11;11;47;6;13;6;46;11;11;11;11;12;-;-;-
-;-;-;-;-;-;-;5;13;13;13;7;-;-;-;-;-;-;-;-
-;-;0;1;1;1;1;3;14;14;14;4;1;1;2;-;-;-;-;-
-;-;5;6;6;6;6;6;13;13;14;6;6;6;7;-;-;-;-;-
-;0;3;14;14;14;13;14;14;14;14;13;14;14;7;-;-;-;-;-
0;3;6;14;14;13;14;13;14;14;13;14;14;14;7;-;-;-;-;-
5;6;14;14;13;14;14;14;14;14;14;14;13;13;4;1;2;-;-;-
5;14;14;13;14;14;14;14;14;14;13;14;13;13;6;6;7;-;-;-
5;14;14;14;14;14;13;14;14;14;14;13;14;14;14;14;7;-;-;-
10;11;47;14;14;14;14;14;14;14;14;14;14;14;14;14;7;-;-;-
-;-;10;11;11;11;11;11;11;47;14;13;14;46;11;11;12;-;-;-
-;-;-;-;-;-;-;-;-;5;13;14;13;7;-;-;-;-;-;-
-;-;-;-;-;-;-;-;-;5;13;13;14;7;-;-;-;-;-;-
-;-;-;-;-;-;-;-;-;10;11;11;11;12;-;-;-;-;-;-
hero;11;18;;;;;;;;;;;;;;;;;
bug;2;13;;;;;;;;;;;;;;;;;
portaTrancada;9;6;chave;1;13;;;;;;;;;;;;;;
portaTrancada;9;1;chave;15;14;;;;;;;;;;;;;;
virus;9;3;;;;;;;;;;;;;;;;;
erro;15;15;;;;;;;;;;;;;;;;;
